# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Serviced Requests
# actix-rust
1000,222,3.966,97.196,46.280,603.328,1.657,10.288,21.608,252.143,5000
1500,29,0.529,0.712,0.638,19.453,51.406,1403.847,1567.398,1890.359,7500
1500,88,1.545,14.410,11.089,154.111,6.489,69.396,90.179,647.249,7500
1500,148,2.609,25.168,14.287,147.865,6.763,39.733,69.996,383.289,7500
2500,17,0.294,0.455,0.410,3.914,255.493,2199.077,2439.024,3401.361,12500
2500,53,0.933,1.170,1.040,41.151,24.301,854.584,961.538,1071.811,12500
2500,88,1.579,12.735,2.416,178.628,5.598,78.521,413.907,633.312,12500


# flask+uwsgi-python3
100,444,2.930,4.403,3.416,24.665,40.543,227.117,292.740,341.297,475
100,1333,8.187,9.681,8.780,32.538,30.733,103.293,113.889,122.145,500
100,2222,13.191,15.352,13.751,47.499,21.053,65.137,72.722,75.809,450
500,88,0.878,1.259,1.087,21.423,46.679,794.309,919.963,1138.952,2048
500,266,1.871,2.368,2.058,24.242,41.251,422.356,486.027,534.474,2274
500,444,2.906,3.683,3.181,33.543,29.812,271.542,314.367,344.116,2026
1000,44,0.645,1.045,0.824,41.264,24.234,956.858,1213.592,1550.388,4525
1000,133,1.125,1.611,1.331,22.548,44.350,620.771,751.315,888.889,4026
1000,222,1.645,2.280,1.884,53.740,18.608,438.667,530.786,607.903,4425
1500,29,0.540,0.835,0.695,48.699,20.534,1197.273,1438.849,1851.852,6056
1500,88,0.866,1.213,1.051,41.531,24.078,824.203,951.475,1154.734,6772
1500,148,1.231,1.671,1.445,23.414,42.709,598.352,692.042,812.348,6004
2500,17,0.461,0.809,0.657,52.153,19.174,1235.454,1522.070,2169.197,9929
2500,53,0.676,1.021,0.853,29.809,33.547,979.243,1172.333,1479.290,10855
2500,88,0.876,1.266,1.064,31.204,32.047,789.690,939.850,1141.553,10400


# tornado-python3
100,444,2.606,3.076,2.808,17.300,57.803,325.063,356.189,383.730,500
100,1333,7.547,8.704,8.083,18.843,53.070,114.884,123.716,132.503,500
100,2222,12.443,13.630,13.123,29.941,33.399,73.370,76.199,80.366,500
500,88,0.662,0.821,0.787,11.893,84.083,1218.213,1270.648,1510.574,2500
500,266,1.670,1.925,1.860,7.735,129.282,519.549,537.634,598.802,2500
500,444,2.680,3.100,3.010,22.249,44.946,322.627,332.281,373.134,2500
1000,44,0.411,0.510,0.499,2.071,482.859,1961.930,2004.008,2433.090,5000
1000,133,0.916,1.113,1.072,27.326,36.595,898.476,932.836,1091.703,5000
1000,222,1.441,1.644,1.592,18.941,52.796,608.385,628.141,693.963,5000
1500,29,0.329,0.424,0.415,5.163,193.686,2359.946,2409.639,3039.514,7216
1500,88,0.644,0.813,0.789,11.658,85.778,1230.428,1267.427,1552.795,7500
1500,148,0.983,1.173,1.127,3.889,257.136,852.248,887.311,1017.294,7500
2500,17,0.257,0.347,0.346,9.526,104.976,2880.368,2890.173,3891.051,10674
2500,53,0.468,0.617,0.585,20.713,48.279,1622.018,1709.402,2136.752,11371
2500,88,0.650,0.855,0.821,6.178,161.865,1169.987,1218.027,1538.462,12158


# cowboy-erlang
100,444,12.688,38.523,28.367,343.647,2.910,25.958,35.253,78.815,500
100,1333,49.828,742.411,159.671,3517.940,0.284,1.347,6.263,20.069,500
100,2222,105.686,1858.100,1909.272,5991.848,0.167,0.538,0.524,9.462,487
500,88,2.110,11.617,5.576,52.959,18.883,86.081,179.324,473.934,2500
500,266,6.894,164.314,78.475,651.671,1.535,6.086,12.743,145.054,2500
500,444,12.418,394.254,304.692,1501.477,0.666,2.536,3.282,80.528,2500
1000,44,1.071,6.452,1.772,88.694,11.275,154.990,564.334,933.707,5000
1000,133,3.228,77.757,11.839,583.545,1.714,12.861,84.467,309.789,5000
1000,222,5.800,102.344,20.752,892.701,1.120,9.771,48.188,172.414,5000
1500,29,0.700,0.869,0.804,8.838,113.148,1150.142,1243.781,1428.571,6878
1500,88,2.084,30.145,2.678,463.958,2.155,33.173,373.413,479.846,7491
1500,148,3.636,100.347,11.397,743.254,1.345,9.965,87.742,275.028,7489
2500,17,0.425,0.556,0.506,11.066,90.367,1799.950,1976.285,2352.941,12500
2500,53,1.269,6.859,2.402,113.036,8.847,145.792,416.320,788.022,11720
2500,88,2.075,15.137,2.461,270.064,3.703,66.065,406.339,481.928,8074


